industry,count,sectors,pct
"glass, ceramics & concrete",115,Manufacturing,0.06
computer networking,102,Technology,0.05
venture capital & private equity,95,Financial Services,0.05
capital markets,94,Financial Services,0.05
libraries,88,Education,0.04
alternative dispute resolution,85,Legal,0.04
veterinary,73,Health & Wellness,0.04
railroad manufacture,69,Manufacturing,0.03
fishery,61,Food & Agriculture,0.03
wireless,61,Technology,0.03
ranching,56,Food & Agriculture,0.03
tobacco,43,Retail & Consumer,0.02
program development,42,Education,0.02
legislative office,36,Government & Public Sector,0.02
alternative medicine,22,Health & Wellness,0.01
nonprofit organization management,8,Non-profit & Social,0.0
